T:ZetaZero = -0.00630629+0.99998012i, b=-11.79700000
T:ZetaZero = +0.00638421+0.99997962i, b=-13.11800000
T:ZetaZero = -0.00658286+0.99997833i, b=-11.24600000
T:ZetaZero = +0.00670962+0.99997749i, b=-5.00200000
T:ZetaZero = -0.00671038-0.99997749i, b=-6.60500000
T:ZetaZero = -0.00709488-0.99997483i, b=-7.92600000
T:ZetaZero = -0.00718360-0.99997420i, b=-14.14800000
T:ZetaZero = +0.00732311-0.99997319i, b=-12.07700000
T:ZetaZero = +0.00745607-0.99997220i, b=-5.09300000
T:ZetaZero = -0.00771685+0.99997022i, b=-15.57600000
T:ZetaZero = +0.00773147+0.99997011i, b=-3.68100000
T:ZetaZero = -0.00778808+0.99996967i, b=-11.98500000
T:ZetaZero = +0.00800736-0.99996794i, b=-0.55800000
T:ZetaZero = -0.00803690-0.99996770i, b=-1.69500000
T:ZetaZero = -0.00816889-0.99996663i, b=-13.58300000
T:ZetaZero = +0.00820509-0.99996634i, b=-10.75700000
T:ZetaZero = -0.00821450-0.99996626i, b=-13.39300000
T:ZetaZero = -0.00837126+0.99996496i, b=-1.03400000
T:ZetaZero = -0.00857732+0.99996321i, b=-2.73700000
T:ZetaZero = +0.00859718+0.99996304i, b=-15.19100000
T:ZetaZero = -0.00865991-0.99996250i, b=-13.77700000
T:ZetaZero = +0.00882115+0.99996109i, b=-1.22300000
T:ZetaZero = -0.00887750-0.99996059i, b=-1.50600000
T:ZetaZero = -0.00892938+0.99996013i, b=-6.32400000
T:ZetaZero = +0.00901465-0.99995937i, b=-10.94000000
T:ZetaZero = -0.00902028+0.99995932i, b=-14.65200000
T:ZetaZero = +0.00903256-0.99995921i, b=-3.20500000
T:ZetaZero = +0.00921556+0.99995754i, b=-12.37200000
T:ZetaZero = -0.00941556+0.99995567i, b=-10.28900000
T:ZetaZero = -0.00949885-0.99995488i, b=-4.90500000
T:ZetaZero = -0.00959269-0.99995399i, b=-4.71700000
T:ZetaZero = -0.00968013-0.99995315i, b=-4.15000000
T:ZetaZero = +0.00973655+0.99995260i, b=-7.08000000
T:ZetaZero = -0.00978082-0.99995217i, b=-2.45000000
T:ZetaZero = -0.00989328-0.99995106i, b=-9.81200000
T:ZetaZero = +0.00998169-0.99995018i, b=-4.52900000
T:ZetaZero = +0.01010912+0.99994890i, b=-9.53000000
T:ZetaZero = +0.01023270-0.99994764i, b=-8.67100000
T:ZetaZero = +0.01036532+0.99994628i, b=-2.16900000
T:ZetaZero = +0.01045529-0.99994534i, b=-9.99900000
T:ZetaZero = -0.01054635+0.99994439i, b=-10.85600000
T:ZetaZero = -0.01058064-0.99994402i, b=-7.16700000
T:ZetaZero = -0.01069482+0.99994281i, b=-13.87100000
T:ZetaZero = -0.01079144+0.99994177i, b=-7.64700000
T:ZetaZero = -0.01107302+0.99993869i, b=-3.49300000
T:ZetaZero = +0.01108608-0.99993855i, b=-10.37900000
T:ZetaZero = -0.01134956+0.99993559i, b=-10.47500000
T:ZetaZero = +0.01145112+0.99993443i, b=-4.81200000
T:ZetaZero = +0.01147483-0.99993416i, b=-10.57000000
T:ZetaZero = +0.01180245-0.99993035i, b=-2.26200000
T:ZetaZero = +0.01208299+0.99992700i, b=-4.43400000
T:ZetaZero = -0.01216372-0.99992602i, b=-9.24300000
T:ZetaZero = +0.01222308-0.99992530i, b=-11.12200000
T:ZetaZero = -0.01223082+0.99992520i, b=-3.87000000
T:ZetaZero = +0.01224894-0.99992498i, b=-9.62600000
T:ZetaZero = +0.01227625+0.99992464i, b=-12.56000000
T:ZetaZero = +0.01232382-0.99992406i, b=-13.02300000
T:ZetaZero = +0.01234214+0.99992383i, b=-13.31100000
T:ZetaZero = -0.01257833-0.99992089i, b=-14.70000000
T:ZetaZero = +0.01261482+0.99992043i, b=-9.91100000
T:ZetaZero = -0.01280223-0.99991805i, b=-10.18700000
T:ZetaZero = +0.01280823-0.99991797i, b=-4.34000000
T:ZetaZero = +0.01306087+0.99991470i, b=-11.43200000
T:ZetaZero = -0.01318648+0.99991305i, b=-1.41300000
T:ZetaZero = -0.01335010-0.99991088i, b=-15.28700000
T:ZetaZero = -0.01345084+0.99990953i, b=-7.27100000
T:ZetaZero = +0.01348814+0.99990903i, b=-13.50100000
T:ZetaZero = -0.01351976+0.99990860i, b=-8.02100000
T:ZetaZero = -0.01353446+0.99990841i, b=-2.54800000
T:ZetaZero = -0.01355944-0.99990807i, b=-11.89000000
T:ZetaZero = +0.01359720-0.99990755i, b=-15.47200000
T:ZetaZero = -0.01362029-0.99990724i, b=-0.93800000
T:ZetaZero = -0.01380988+0.99990464i, b=-0.05800000
T:ZetaZero = +0.01385901+0.99990396i, b=-0.05700000
T:ZetaZero = +0.01418536-0.99989938i, b=-8.30200000
T:ZetaZero = -0.01422695+0.99989879i, b=-15.94800000
T:ZetaZero = +0.01424680+0.99989851i, b=-8.97500000
T:ZetaZero = +0.01436864-0.99989677i, b=-12.44600000
T:ZetaZero = +0.01438164+0.99989658i, b=-12.92800000
T:ZetaZero = -0.01439879-0.99989633i, b=-7.73500000
T:ZetaZero = -0.01447638-0.99989521i, b=-8.30100000
T:ZetaZero = -0.01467833+0.99989227i, b=-0.65400000
T:ZetaZero = -0.01472594-0.99989157i, b=-6.79300000
T:ZetaZero = +0.01482030-0.99989017i, b=-3.77200000
T:ZetaZero = -0.01485958-0.99988959i, b=-3.58200000
